index	config	project	host	port	status	exit_code	log_dir	note
1	/home/bxb1/vllm_workbench/vllm/vllm_exp/configs/a-kernal_cmp.yaml	kernal_cmp_9	spartan-gpgpu166	8000	success	0	/home/bxb1/vllm_workbench/vllm/new-logs/sequential-run-20260320-234844/project-kernal_cmp_9	
2	/home/bxb1/vllm_workbench/vllm/vllm_exp/configs/a-llama-config-finder.yaml	config-finder-llama-latest-4	spartan-gpgpu166	8000	success	0	/home/bxb1/vllm_workbench/vllm/new-logs/sequential-run-20260320-234844/project-config-finder-llama-latest-4	
