index	config	project	host	port	status	exit_code	log_dir	note
1	/home/bxb1/vllm_workbench/vllm/vllm_exp/configs/a-async-fast-stop-time.yaml	async-fast_stop_time_layer-2	spartan-gpgpu140	8000	success	0	/home/bxb1/vllm_workbench/vllm/new-logs/sequential-run-20260322-001655/project-async-fast_stop_time_layer-2	
2	/home/bxb1/vllm_workbench/vllm/vllm_exp/configs/a-async-fast.yaml	async-fast_5	spartan-gpgpu140	8000	success	0	/home/bxb1/vllm_workbench/vllm/new-logs/sequential-run-20260322-001655/project-async-fast_5	
